C:\Data\IMG\center_2020_10_28_08_09_59_318.jpg, C:\Data\IMG\left_2020_10_28_08_09_59_318.jpg, C:\Data\IMG\right_2020_10_28_08_09_59_318.jpg, 0, 0, 0, 7.784615E-05
C:\Data\IMG\center_2020_10_28_08_09_59_419.jpg, C:\Data\IMG\left_2020_10_28_08_09_59_419.jpg, C:\Data\IMG\right_2020_10_28_08_09_59_419.jpg, 0, 0, 0, 7.854644E-05
C:\Data\IMG\center_2020_10_28_08_09_59_521.jpg, C:\Data\IMG\left_2020_10_28_08_09_59_521.jpg, C:\Data\IMG\right_2020_10_28_08_09_59_521.jpg, 0, 0, 0, 7.908695E-05
C:\Data\IMG\center_2020_10_28_08_09_59_624.jpg, C:\Data\IMG\left_2020_10_28_08_09_59_624.jpg, C:\Data\IMG\right_2020_10_28_08_09_59_624.jpg, 0, 0, 0, 8.247279E-05
C:\Data\IMG\center_2020_10_28_08_09_59_724.jpg, C:\Data\IMG\left_2020_10_28_08_09_59_724.jpg, C:\Data\IMG\right_2020_10_28_08_09_59_724.jpg, 0, 0, 0, 7.902525E-05
C:\Data\IMG\center_2020_10_28_08_09_59_826.jpg, C:\Data\IMG\left_2020_10_28_08_09_59_826.jpg, C:\Data\IMG\right_2020_10_28_08_09_59_826.jpg, 0, 0, 0, 7.839163E-05
C:\Data\IMG\center_2020_10_28_08_09_59_927.jpg, C:\Data\IMG\left_2020_10_28_08_09_59_927.jpg, C:\Data\IMG\right_2020_10_28_08_09_59_927.jpg, 0, 0, 0, 7.841746E-05
C:\Data\IMG\center_2020_10_28_08_10_00_028.jpg, C:\Data\IMG\left_2020_10_28_08_10_00_028.jpg, C:\Data\IMG\right_2020_10_28_08_10_00_028.jpg, 0, 0, 0, 7.891489E-05
C:\Data\IMG\center_2020_10_28_08_10_00_128.jpg, C:\Data\IMG\left_2020_10_28_08_10_00_128.jpg, C:\Data\IMG\right_2020_10_28_08_10_00_128.jpg, 0, 0, 0, 7.869781E-05
C:\Data\IMG\center_2020_10_28_08_10_00_234.jpg, C:\Data\IMG\left_2020_10_28_08_10_00_234.jpg, C:\Data\IMG\right_2020_10_28_08_10_00_234.jpg, 0, 0, 0, 7.791785E-05
